Shrink,cost,amount,records,percentage
prošlé a zkažené zboží,-51558024,-3083771,1018791,"50,63%"
potravinová banka,-12378072,-869341,246506,"12,15%"
poškození,-34593255,-1296251,170023,"33,97%"
kompostéry,-1806382,-51243,32309,"1,77%"
zvířecí útulky,-1120566,-103581,28774,"1,10%"
internal use (err),-44503,-2150,353,"0,04%"
zničeno rozmražením,-122662,-5369,333,"0,12%"
uznané zákaznické reklamace,-126460,-363,265,"0,12%"
neuzn. reklamace DC,-56678,-1094,78,"0,06%"
neúpl. reklamace DC,-33095,-414,53,"0,03%"
